,title,country,genre,actors,director,time,description,score
20,Чебурашка ,['Россия'],"['семейный', 'комедия', 'фэнтези', 'слова']","['Сергей Гармаш', 'Ольга Кузьмина', 'Полина Максимова']",Дмитрий Дьяченко,113,"На небольшой приморский городок обрушивается дождь из апельсинов, а вместе с фруктами с неба падает неизвестный науке мохнатый непоседливый зверёк. Одержимое апельсинами животное оказывается в домике нелюдимого старика-садовника Геннадия, который из вредности решает оставить его жить у себя, так как местная богачка жаждет заполучить необычного зверя для своей избалованной внучки. Также эта коварная женщина, владелица кондитерской фабрики, пытается выведать секрет шоколада у хозяйки маленького магазинчика — дочери Геннадия, много лет обиженной на отца.",7.2
21,Один дома ,['США'],"['комедия', 'семейный', 'слова']","['Маколей Калкин', 'Джо Пеши', 'Дэниел Стерн']",Крис Коламбус,103,"Американское семейство отправляется из Чикаго в Европу, но в спешке сборов бестолковые родители забывают дома... одного из своих детей. Юное создание, однако, не теряется и демонстрирует чудеса изобретательности. И когда в дом залезают грабители, им приходится не раз пожалеть о встрече с милым крошкой.",8.3
22,Хоккейные папы ,['Россия'],"['спорт', 'семейный']","['Алексей Бардуков', 'Аня Чиповская', 'Михаил Пореченков']",Андрей Булатов,131,"Андрей — тренер детской хоккейной команды маленького провинциального городка. Размеренную жизнь героя нарушает известие о том, что единственный в городе ледовый дворец, где он тренирует детей, собираются снести. Единственная возможность его спасти — победить в любительском турнире по хоккею. У Андрея есть всего несколько месяцев для того, чтобы собрать команду и подготовить её к играм. Отцы маленьких хоккеистов решают сами выйти на лед и побороться за будущее своих детей.",8.4
23,Вызов ,['Россия'],"['драма', 'слова']","['Юлия Пересильд', 'Милош Бикович', 'Владимир Машков']",Клим Шипенко,164,"Торакальный хирург Женя Беляева за месяц должна подготовиться к космическому полету, чтобы отправиться на МКС и спасти заболевшего космонавта. Ей придётся преодолеть неуверенность и страхи, а также провести сложнейшую операцию в условиях невесомости, от которой зависят шансы космонавта вернуться на Землю живым.",7.5
24,Оставленные ,['США'],"['драма', 'комедия', 'слова']","['Пол Джаматти', 'Доминик Сесса', 'Давайн Джой Рэндольф']",Александр Пэйн,133,"Декабрь 1970 года. Ученики академии Бартон, престижной закрытой школы для мальчиков, разъезжаются на рождественские каникулы, но несколько неудачников, родители которых не могут или не хотят их забирать, вынуждены остаться на кампусе. Присматривать за ребятами назначен ненавистный учитель истории мистер Ханэм — принципиальный приверженец строгих педагогических методов, и повариха Мэри, скорбящая по погибшему во Вьетнаме сыну.",7.8
25,Баба Яга спасает мир ,['Россия'],"['фэнтези', 'комедия', 'семейный', 'приключения']","['Глафира Тарханова', 'Людмила Артемьева', 'Олеся Железняк']",Карен Захаров,90,"Любопытный школьник Сенька каким-то чудом попадает в сказочный древний лес. Он скрыт от людских глаз мощным заклятием Бабы Яги, призванным защитить людей и весь мир от дремлющих там темных сил. В лесу явно творится что-то неладное. Тревожные сигналы возвещают, что заклятие больше не действует, и пробуждение зловещего волшебства и давно поверженных врагов — лишь вопрос времени. Чтобы наложить заклятие снова, Яга вынуждена отправиться в современный город на поиск мощнейшего оружия волшебников, дивноцвета. Там ее ожидает встреча с множеством причуд современного мира, а в темном подземелье уже тысячу лет прячется жаждущий мести Кощей Бессмертный, ведь именно Яга помогла одолеть его много веков назад.",7.2
26,"Мятежная Луна, часть 1: Дитя огня ",['США'],"['фантастика', 'боевик', 'драма', 'приключения', 'слова']","['София Бутелла', 'Эд Скрейн', 'Михил Хёйсман']",Зак Снайдер,133,"В галактической империи Праматерь после убийства королевской семьи власть узурпировал коварный сенатор. На окраинах зарождается революция, поэтому среди планет курсирует боевой корабль под руководством безжалостного адмирала Нобла. Когда ищущие повстанцев прибывают на захолустную луну Велдт, чтобы пополнить запасы пищи, а также убивать и насиловать, они неожиданно наталкиваются на сопротивление — загадочная женщина по имени Кора, которую пару лет назад вытащил из обломков корабля местный фермер, оказывается беглянкой из военной элиты империи.",5.7
27,Общество снега ,['Испания'],"['триллер', 'драма', 'биография', 'слова']","['Enzo Vogrincic', 'Simon Hempe', 'Эстебан Бильярди']",Хуан Антонио Байона,144,"1972 год. Уругвайский самолет терпит крушение в самом сердце Анд, и выжившим приходится надеяться только друг на друга. Оказавшись в ловушке в одном из самых недоступных мест на планете, они вынуждены прибегать к крайним мерам, чтобы остаться в живых.",7.6
28,Манюня: Новогодние приключения ,['Россия'],"['комедия', 'приключения', 'семейный']","['Екатерина Темнова', 'Карина Каграманян', 'Карина Мнацаканян']",Арман Марутян,85,"Новый год для Манюни, Наринэ и Каринэ может пойти не по плану: синоптики обещают аномально теплую зиму, а это значит, что приход Деда Мороза оказывается под угрозой! Их семьи экстренно принимают решение — отправиться в горы. Полная приключений дорога приводит героев в заветный дом, который становится разочарованием: грязь, сырость, сломанная мебель, а главное — непрошенные гости. Удастся ли им подружиться, найти праздничное настроение и встретить Новый год по-настоящему волшебно?",6.4
29,Бедные-несчастные ,['Ирландия'],"['фантастика', 'мелодрама', 'слова']","['Эмма Стоун', 'Уиллем Дефо', 'Рами Юссеф']",Йоргос Лантимос,141,"Из-за жестокого мужа Белла Бакстер покончила с собой, утопившись в реке. Эксцентричный учёный решает спасти женщину и пересаживает ей мозг её же нерождённого ребёнка.",8.2
30,Аквамен и потерянное царство ,['США'],"['фантастика', 'фэнтези', 'боевик', 'приключения', 'слова']","['Джейсон Момоа', 'Патрик Уилсон', 'Яхья Абдул-Матин II']",Джеймс Ван,124,"Над Атлантидой нависла новая угроза, способная привести к необратимой катастрофе. Даже Аквамен не сможет справиться в одиночку – ему предстоит заключить неожиданный союз ради спасения своего королевства.",6.1
31,Ивановы-Ивановы. Новогодние каникулы ,['Россия'],"['комедия', 'семейный']","['Михаил Трухин', 'Станислав Дужников', 'Анна Уколова']",Антон Федотов,96,"Ивановы готовятся встретить Новый год в Египте. Но на борту самолёта сталкиваются с грабителями, которые пытаются вывезти за границу кольцо, украденное из музея. В полёте завязывается драка, из-за чего самолёт экстренно садится в Ереване. На носу Новый год, гостиницы заняты, но всех выручает брат Гамлета — Давид. Казалось бы, теперь можно спокойно отметить праздник, но украденное кольцо случайно попадает к Ивановым, а грабители не оставляют попыток его вернуть. Так начинаются приключения Ивановых в Армении.",7.5
32,Папины дочки. Новогодние ,['Россия'],"['комедия', 'семейный']","['Филипп Бледный', 'Мирослава Карпович', 'Татьяна Орлова']",Дмитрий Грибанов,72,"Веник отказывается от предложения Аллигатора улететь всей семьей на Мальдивы и везет дочек, Тамару, Машу и соседа Борю в подмосковный комплекс с пятизвездочным отелем, бассейном и горнолыжной трассой. Правда, на месте компания понимает, что все не так роскошно, как им обещал Веник.",7.9
33,Джентльмены ,['США'],"['криминал', 'комедия', 'боевик', 'слова']","['Мэттью Макконахи', 'Чарли Ханнэм', 'Генри Голдинг']",Гай Ричи,113,"Один ушлый американец ещё со студенческих лет приторговывал наркотиками, а теперь придумал схему нелегального обогащения с использованием поместий обедневшей английской аристократии и очень неплохо на этом разбогател. Другой пронырливый журналист приходит к Рэю, правой руке американца, и предлагает тому купить киносценарий, в котором подробно описаны преступления его босса при участии других представителей лондонского криминального мира — партнёра-еврея, китайской диаспоры, чернокожих спортсменов и даже русского олигарха.",8.6
34,Телохранитель на фрилансе ,['США'],"['боевик', 'комедия', 'слова']","['Джон Сина', 'Элисон Бри', 'Хуан Пабло Раба']",Пьер Морель,108,"Во время выполнения боевого задания в Пальдонии отряд американского спецназа попадает в засаду. Несколько бойцов погибает, а Мейсон Петтитс получает серьёзную травму спины, из-за чего он вынужден покинуть службу и стать юристом. Теперь у него есть жена и дочь-школьница, мирная жизнь его тяготит, и он частенько вспоминает былые армейские деньки. Однажды его бывший командир, который открыл свою частную военную компанию, уговаривает Мейсона выполнить несложное задание и неплохо при этом заработать. Необходимо стать телохранителем журналистки Клэр Уэллингтон, которая отправляется в Пальдонию, чтобы взять интервью у местного диктатора. Но «непыльная работёнка» превращается в зону боевых действий, когда Мейсон и Клэр оказываются в эпицентре государственного переворота.",6.7
35,Интерстеллар ,['США'],"['фантастика', 'драма', 'приключения', 'слова']","['Мэттью Макконахи', 'Энн Хэтэуэй', 'Джессика Честейн']",Кристофер Нолан,169,"Когда засуха, пыльные бури и вымирание растений приводят человечество к продовольственному кризису, коллектив исследователей и учёных отправляется сквозь червоточину (которая предположительно соединяет области пространства-времени через большое расстояние) в путешествие, чтобы превзойти прежние ограничения для космических путешествий человека и найти планету с подходящими для человечества условиями.",8.6
36,Джон Уик 4 ,['США'],"['боевик', 'триллер', 'криминал', 'слова']","['Киану Ривз', 'Донни Йен', 'Билл Скарсгард']",Чад Стахелски,169,"Оставляя за собой горы трупов, Джон Уик продолжает скрываться от всевозможных наёмных убийц, и теперь охоту на него возглавляет молодой и честолюбивый член Правления по имени Маркиз. Два управляющих отелями «Континенталь» в Нью-Йорке и Осаке, решившие по старой дружбе помочь своенравному киллеру, уже жестоко за это поплатились, но внезапно Джон узнаёт способ выбраться из этой, казалось бы, безвыходной ситуации.",7.6
37,Гардемарины 1787. Война ,['Россия'],"['приключения', 'история']","['Дмитрий Харатьян', 'Александр Домогаров', 'Михаил Мамаев']",Светлана Дружинина,97,"Представители западных держав в очередной раз начинают свои козни против России, но возмужавшие гардемарины и их повзрослевшие дети снова встают на защиту Родины. Проделав рискованный путь с острова Мальта до Крыма, они неожиданно становятся участниками исторического сражения при Кинбурне под началом генерала Александра Суворова.",5.3
38,Чук и Гек. Большое приключение ,['Россия'],"['семейный', 'приключения']","['Андрей Андреев', 'Юрий Степанов', 'Владимир Вдовиченков']",Александр Котт,96,"Два дружных, но озорных брата Чук и Гек живут с любящей мамой в Москве и скучают по папе, который работает далеко на Севере. Решив во что бы то ни стало встретить наступающий Новый год вместе, они отправляются в захватывающее путешествие к таинственным Синим горам. Теперь их ждёт самое большое приключение в их жизни, ведь в новогодние праздники возможны любые, даже самые невероятные чудеса.",6.6
39,Баба Мороз и тайна Нового года ,['Россия'],"['комедия', 'семейный', 'приключения']","['Юлия Александрова', 'Татьяна Орлова', 'Иван Стебунов']",Андрей Богатырев,97,"Оказывается, у Деда Мороза есть жена, и она исполняет желания взрослых. Но те перестали верить в чудеса, и волшебница превратилась в обычную домохозяйку. Однако в этом году все изменится.",7.6
40,Рождественская история ,['США'],"['мультфильм', 'фэнтези', 'драма', 'комедия', 'приключения', 'семейный', 'слова']","['Джим Керри', 'Гари Олдман', 'Колин Фёрт']",Роберт Земекис,96,"Это викторианская поучительная история о старом и ожесточившемся скупердяе Эбенезере Скрудже, который в течение одной ночи переживает испытание глубокого очищения. Мистер Скрудж — финансист/денежный меняла, который посвятил всю свою жизнь накоплению богатства. Он презирает всё, кроме денег, включая дружбу, любовь и рождественские праздники.",7.8
41,Вечера на хуторе близ Диканьки ,['СССР'],"['фэнтези', 'мелодрама', 'комедия', 'слова']","['Юрий Тавров', 'Людмила Хитяева', 'Георгий Милляр']",Александр Роу,66,"Веселая история про то, как в рождественскую ночь в украинском селе всех попутал бес и как могучему кузнецу Вакуле удалось одолеть нечистую силу и добыть для своей невесты царские черевички. Экранизация повести Н. В. Гоголя «Ночь перед Рождеством».",8.1
42,Реальная любовь ,['Великобритания'],"['мелодрама', 'комедия', 'драма', 'слова']","['Хью Грант', 'Билл Найи', 'Лиам Нисон']",Ричард Кёртис,129,"Любовь поистине правит всеми вокруг — от премьер-министра, влюбившегося в сотрудницу своего аппарата, до писателя, сбежавшего на юг Франции, чтобы склеить свое разбитое сердце.",7.9
43,Анатомия падения ,['Франция'],"['драма', 'детектив', 'слова']","['Сандра Хюллер', 'Сванн Арло', 'Мило Машадо Гранер']",Жюстин Трие,151,"Муж популярной писательницы Сандры Войер найден мёртвым с открытой раной головы. Ужасный несчастный случай, самоубийство или чей-то злой умысел? Когда всплывают нелицеприятные подробности жизни супругов, главной подозреваемой становится сама Сандра, а ключевым свидетелем — её слабовидящий 11-летний сын.",7.0
44,Новогодний шеф ,['Россия'],['комедия'],"['Павел Прилучный', 'Зоя Бербер', 'Владислав Миллер']",Василий Ровенский,88,"Виктор — владелец модного ресторана, вот только дела в нем идут не очень. Вся надежда только на новогоднюю ночь, ведь все столики уже забронированы, но наступает 31 декабря и из ресторана уходит шеф-повар со всей командой. Казалось бы, все пропало, и тут в ресторане появляется Олеся, владелица кухни на дому в подмосковном поселке. Она привезла пирожные, которые Виктор совершенно случайно заказал у нее и даже успел забыть об этом. Виктор предлагает Олесе стать шеф-поваром на новогоднюю ночь. Она отказывается, Олеся обещала своему сыну Кириллу новогоднюю сказку с салютами. Виктор уговаривает ее согласиться, он верит в нее и знает, что у Олеси есть особый дар — пробуждать у людей своими блюдами самые лучшие воспоминания. Смогут ли Олеся и Виктор совершить настоящее новогоднее чудо: накормить всех гостей особенными блюдами и выполнить обещание, данное Кириллу?",6.3
45,Вася не в себе ,['Россия'],"['комедия', 'фантастика']","['Павел Прилучный', 'Чингиз Кадыров', 'Ольга Кузьмина']",Гарик Петросян,90,"Василий Кузин — крайне успешный столичный бизнесмен: красивая девушка, крутая машина, большая квартира, строительная империя растет. Только одно омрачает его жизнь — приезжие рабочие, которых Василий ни в грош не ставит и постоянно «кидает» на деньги. Однажды Вася попадает в аварию, а, когда приходит в себя, к своему ужасу обнаруживает, что каким-то невероятным образом превратился в маленького упитанного героя анекдотов про гастарбайтеров. Теперь он должен сделать всё, чтобы вернуть своё прежнее тело.",6.9
